,element,binding_energy,nuetron_number,element_name,proton_number
0,1H,0.0000,1,H,1
1,20Mg,134.4703,20,Mg,12
2,34S,291.8432,34,S,16
3,47Ar,391.1855,47,Ar,18
4,2H,2.2245,2,H,1
5,21Mg,149.1987,21,Mg,12
6,35S,298.8286,35,S,16
7,48Ar,396.5820,48,Ar,18
8,3H,8.4820,3,H,1
9,22Mg,168.5802,22,Mg,12
10,36S,308.7181,36,S,16
11,49Ar,398.8984,49,Ar,18
12,3He,7.7186,3,He,2
13,23Mg,181.7277,23,Mg,12
14,37S,313.0216,37,S,16
15,50Ar,403.4399,50,Ar,18
16,4He,28.2970,4,He,2
17,24Mg,198.2592,24,Mg,12
18,38S,321.0581,38,S,16
19,51Ar,404.3314,51,Ar,18
20,6Li,31.9965,6,Li,3
21,25Mg,205.5896,25,Mg,12
22,39S,325.2686,39,S,16
23,52Ar,407.7329,52,Ar,18
24,7Li,39.2460,7,Li,3
25,26Mg,216.6831,26,Mg,12
26,40S,332.8600,40,S,16
27,53Ar,407.7343,53,Ar,18
28,7Be,37.6026,7,Be,4
29,27Mg,223.1266,27,Mg,12
30,41S,336.2815,41,S,16
31,35K,278.8023,35,K,19
32,8Be,56.5011,8,Be,4
33,28Mg,231.6311,28,Mg,12
34,42S,342.9030,42,S,16
35,36K,293.1318,36,K,19
36,9Be,58.1665,9,Be,4
37,29Mg,235.3445,29,Mg,12
38,43S,346.3095,43,S,16
39,37K,308.5763,37,K,19
40,8B,37.7396,8,B,5
41,22Al,149.3108,22,Al,13
42,44S,353.1659,44,S,16
43,38K,320.6518,38,K,19
44,9B,56.3161,9,B,5
45,23Al,168.7052,23,Al,13
46,45S,355.3874,45,S,16
47,39K,333.7272,39,K,19
48,10B,64.7526,10,B,5
49,24Al,183.5987,24,Al,13
50,46S,359.6689,46,S,16
51,40K,341.5267,40,K,19
52,11B,76.2060,11,B,5
53,25Al,200.5302,25,Al,13
54,47S,360.7904,47,S,16
55,41K,351.6222,41,K,19
56,11C,73.4416,11,C,6
57,26Al,211.8967,26,Al,13
58,31Cl,243.9743,31,Cl,17
59,42K,359.1557,42,K,19
60,12C,92.1631,12,C,6
61,27Al,224.9552,27,Al,13
62,32Cl,258.3158,32,Cl,17
63,43K,368.8001,43,K,19
64,13C,97.1096,13,C,6
65,28Al,232.6806,28,Al,13
66,33Cl,274.0603,33,Cl,17
67,44K,376.0886,44,K,19
68,14C,105.2860,14,C,6
69,29Al,242.1161,29,Al,13
70,34Cl,285.5687,34,Cl,17
71,45K,384.9641,45,K,19
72,12N,74.0426,12,N,7
73,30Al,247.8626,30,Al,13
74,35Cl,298.2132,35,Cl,17
75,46K,391.8396,46,K,19
76,13N,94.1071,13,N,7
77,31Al,255.0941,31,Al,13
78,36Cl,306.7937,36,Cl,17
79,47K,400.1890,47,K,19
80,14N,104.6606,14,N,7
81,23Si,151.1598,23,Si,14
82,37Cl,317.1042,37,Cl,17
83,48K,404.6865,48,K,19
84,15N,115.4941,15,N,7
85,24Si,172.0063,24,Si,14
86,38Cl,323.2126,38,Cl,17
87,49K,411.4060,49,K,19
88,14O,98.7352,14,O,8
89,25Si,187.0058,25,Si,14
90,39Cl,331.2881,39,Cl,17
91,50K,414.2275,50,K,19
92,15O,111.9576,15,O,8
93,26Si,206.0492,26,Si,14
94,40Cl,337.0876,40,Cl,17
95,51K,419.2089,51,K,19
96,16O,127.6211,16,O,8
97,27Si,219.3607,27,Si,14
98,41Cl,345.0291,41,Cl,17
99,52K,421.0704,52,K,19
100,17O,131.7646,17,O,8
101,28Si,236.5392,28,Si,14
102,42Cl,350.1205,42,Cl,17
103,53K,424.8319,53,K,19
104,18O,139.8091,18,O,8
105,29Si,245.0137,29,Si,14
106,43Cl,356.9020,43,Cl,17
107,54K,425.9234,54,K,19
108,19O,143.7665,19,O,8
109,30Si,255.6231,30,Si,14
110,44Cl,361.8535,44,Cl,17
111,55K,429.1349,55,K,19
112,17F,128.2221,17,F,9
113,31Si,262.2116,31,Si,14
114,45Cl,368.7650,45,Cl,17
115,36Ca,281.3644,36,Ca,20
116,18F,137.3716,18,F,9
117,32Si,271.4141,32,Si,14
118,46Cl,372.7664,46,Cl,17
119,37Ca,296.1548,37,Ca,20
120,19F,147.8031,19,F,9
121,33Si,275.8966,33,Si,14
122,47Cl,377.3879,47,Cl,17
123,38Ca,313.1263,38,Ca,20
124,20F,154.4046,20,F,9
125,34Si,283.4340,34,Si,14
126,48Cl,379.4294,48,Cl,17
127,39Ca,326.4138,39,Ca,20
128,21F,162.5061,21,F,9
129,27P,206.9433,27,P,15
130,49Cl,383.0809,49,Cl,17
131,40Ca,342.0563,40,Ca,20
132,17Ne,112.9107,17,Ne,10
133,28P,221.4258,28,P,15
134,50Cl,383.7923,50,Cl,17
135,41Ca,350.4187,41,Ca,20
136,18Ne,132.1432,18,Ne,10
137,29P,239.2872,29,P,15
138,51Cl,386.1038,51,Cl,17
139,42Ca,361.9002,42,Ca,20
140,19Ne,143.7827,19,Ne,10
141,30P,250.6077,30,P,15
142,32Ar,246.3833,32,Ar,18
143,43Ca,369.8327,43,Ca,20
144,20Ne,160.6521,20,Ne,10
145,31P,262.9202,31,P,15
146,33Ar,261.6548,33,Ar,18
147,44Ca,380.9652,44,Ca,20
148,21Ne,167.4136,21,Ne,10
149,32P,270.8557,32,P,15
150,34Ar,278.7253,34,Ar,18
151,45Ca,388.3797,45,Ca,20
152,22Ne,177.7751,22,Ne,10
153,33P,280.9601,33,P,15
154,35Ar,291.4658,35,Ar,18
